10Kdates,10Qdates,cosine_score,jaccard_score,cik
,,,,0001318605
2012-02-27,,0.9201721394880013,0.8521468144044322,0001318605
2013-03-07,,0.9229003372132812,0.8567676413938015,0001318605
2014-02-26,,0.8907516011543621,0.8030224969946763,0001318605
2015-02-26,,0.9004924801036861,0.8188061278394083,0001318605
2016-02-24,,0.8626654597759181,0.7572587917042379,0001318605
2017-03-01,,0.8267328180658937,0.6985583224115334,0001318605
2018-02-23,,0.9030496869548936,0.8232177263969171,0001318605
,2010-08-13,,,0001318605
,2010-11-12,,,0001318605
,2011-05-13,,,0001318605
,2011-08-12,0.8580826649187796,0.750733137829912,0001318605
,2011-11-14,0.8617277694765658,0.7562552126772311,0001318605
,2012-05-10,0.8913902535754413,0.8040063737764626,0001318605
,2012-08-02,0.8791402341726716,0.7841774988794262,0001318605
,2012-11-07,0.8773405206966469,0.7811590959946296,0001318605
,2013-05-10,0.8801659919191572,0.7858623071609486,0001318605
,2013-08-09,0.8649817247656179,0.7620106761565836,0001318605
,2013-11-08,0.8583347222989353,0.751660026560425,0001318605
,2014-05-09,0.8615876458002474,0.7567506240072612,0001318605
,2014-08-08,0.8696472031144311,0.7692479856759177,0001318605
,2014-11-07,0.874370171616475,0.7766052986079928,0001318605
,2015-05-11,0.8504810672405322,0.7390804597701149,0001318605
,2015-08-07,0.827720969330926,0.7046287809349221,0001318605
,2015-11-05,0.8334693466160075,0.7134677049931287,0001318605
,2016-05-10,0.8226162905088272,0.6979542719614922,0001318605
,2016-08-05,0.8312352360201136,0.7110565110565109,0001318605
,2016-11-02,0.8190556502865637,0.6935598018400566,0001318605
,2017-05-10,0.8034561626743396,0.6693511274735389,0001318605
,2017-08-04,0.8054481563380198,0.6718322698268003,0001318605
,2017-11-03,0.8063591498507863,0.6738651388276774,0001318605
,2018-05-07,0.8493271662284325,0.7379524761270264,0001318605
,2018-08-06,0.857026068378352,0.7496153000659486,0001318605
,2018-11-02,0.8481626387146048,0.7361258770997235,0001318605
