10Kdates,10Qdates,cosine_score,jaccard_score,cik
,,,,0001652044
2017-02-03,,0.8712248952201648,0.7715609408410549,0001652044
2018-02-06,,0.8887977769203564,0.7998522895125554,0001652044
,2015-10-29,,,0001652044
,2016-05-03,,,0001652044
,2016-08-04,,,0001652044
,2016-11-03,0.8145771604224653,0.6870937790157846,0001652044
,2017-05-02,0.8290150650833699,0.7078303930671619,0001652044
,2017-07-25,0.8445737445120018,0.7309033280507131,0001652044
,2017-10-27,0.8425870520602541,0.7279365079365079,0001652044
,2018-04-24,0.8352940002843553,0.7171499074645281,0001652044
,2018-07-24,0.8498105583811439,0.7388272583201267,0001652044
,2018-10-26,0.8484970401302714,0.7368587713742876,0001652044
