cosine_score,jaccard_score,10Kdates
,,
0.8931345853233482,0.8067307692307693,2001-02-16
0.8771965224368958,0.7810777709736682,2002-02-22
0.8829311985193347,0.78915313225058,2003-02-27
0.8534352286575204,0.7422074603985692,2004-02-24
0.7811760236910392,0.6232310237088771,2005-02-08
0.9127856102563727,0.8392887968237528,2006-02-07
0.9120660272938058,0.8380667663178873,2007-02-06
0.9266105647778957,0.8630381803411861,2008-01-29
0.9133208711898833,0.8395852394022568,2009-01-27
0.9290499968547645,0.8674969987995198,2010-03-01
0.8974172770954907,0.8135714285714286,2011-03-01
0.9286258904076585,0.8667527251864601,2012-02-28
0.9265183877581533,0.863013698630137,2013-03-01
0.9324132461870197,0.8733153638814016,2014-02-28
0.9408678153184884,0.8883146712604076,2015-02-23
0.9380159157655651,0.883266818700114,2016-02-22
0.9399723342772379,0.8866973797869278,2017-02-27
0.9448287464897132,0.8954267404602388,2018-02-26
